CPD ID,Plate ID,Well
CPD_361761,APL001692,B19
CPD_361658,APL001692,C14
CPD_362539,APL001695,E13
CPD_362668,APL001695,H05
CPD_245941,APL003274,H08
CPD_244284,APL003269,H11
CPD_361602,APL001692,C19
CPD_245090,APL003272,G13
CPD_245171,APL003272,I14
CPD_361068,APL001690,H05
CPD_244883,APL003271,G22
CPD_360949,APL001690,I15
CPD_363140,APL001697,G03
CPD_362028,APL001693,H05
CPD_246004,APL003275,I03
CPD_362017,APL001693,B03
CPD_363878,APL001697,D10
CPD_360996,APL001690,G08
CPD_362192,APL001694,O05
CPD_246632,APL003277,I03
CPD_244999,APL003271,B12
CPD_361699,APL001692,F03
CPD_363052,APL001696,H21
CPD_364407,APL001699,L03
CPD_351386,APL001658,N03
CPD_362924,APL001696,G10
CPD_362823,APL001696,M03
CPD_361753,APL001692,B17
CPD_361380,APL001691,H03
CPD_244526,APL003270,K12
CPD_361836,APL001692,H18
CPD_361103,APL001690,N13
CPD_361183,APL001690,N14
CPD_361444,APL001691,H19
CPD_362132,APL001693,H12
CPD_362196,APL001694,G07
CPD_361100,APL001690,H13
CPD_245320,APL003272,D12
CPD_246943,APL003278,E11
CPD_361014,APL001690,K12
CPD_360914,APL001690,C07
CPD_364516,APL001699,F12
CPD_361179,APL001690,F14
CPD_361331,APL001691,E12
CPD_243414,APL003266,H14
CPD_245337,APL003272,F16
CPD_361431,APL001691,N15
CPD_362379,APL001694,F13
CPD_361491,APL001691,F12
CPD_362380,APL001694,H13
CPD_363035,APL001696,F17
CPD_245681,APL003273,H22
CPD_361833,APL001692,B18
CPD_361048,APL001690,O20
CPD_363068,APL001696,H06
CPD_362610,APL001695,C12
CPD_245436,APL003273,K19
CPD_361091,APL001690,F11
CPD_361508,APL001691,H16
CPD_361754,APL001692,D17
CPD_244977,APL003271,F06
CPD_362822,APL001696,K03
CPD_362209,APL001694,A11
CPD_362676,APL001695,H07
CPD_362932,APL001696,G12
CPD_362892,APL001696,G21
CPD_246003,APL003275,G03
CPD_244105,APL003269,A07
CPD_245993,APL003274,D22
CPD_360965,APL001690,I19
CPD_360920,APL001690,O07
CPD_361499,APL001691,F14
CPD_331992,APL001598,A07
CPD_362388,APL001694,H15
CPD_244850,APL003271,E14
CPD_246841,APL003277,N15
CPD_361476,APL001691,H08
CPD_361722,APL001692,D09
CPD_361793,APL001692,B08
CPD_361085,APL001690,J09
CPD_361022,APL001690,K14
CPD_362659,APL001695,F03
CPD_362868,APL001696,G15
CPD_362884,APL001696,G19
CPD_361643,APL001692,E10
CPD_361820,APL001692,H14
CPD_246751,APL003277,I14
CPD_349373,APL001652,O19
CPD_361082,APL001690,D09
CPD_361635,APL001692,E08
CPD_361762,APL001692,D19
CPD_361821,APL001692,J14
CPD_361952,APL001693,O06
CPD_246944,APL003278,G11
CPD_361729,APL001692,B11
CPD_361740,APL001692,H13
CPD_362171,APL001693,F22
CPD_332827,APL001600,N07
CPD_361059,APL001690,F03
CPD_361028,APL001690,G16
CPD_246314,APL003276,G03
CPD_246893,APL003277,H14
CPD_246185,APL003275,F09
CPD_362371,APL001694,F11
